Name,Stars,Title,Date,Description
Sushant,3.0,"3.0 out of 5 stars
Big screen, bulky phone and very average front camera",N/A,"Screen quality is good, front camera is very average in performance even is good light does not take good picture. Phone is bulkey and not friendly to hold in one hand due to is square sides, it would have been better with curvy sides of the phone."
Parth,4.0,"4.0 out of 5 stars
It cost me 11500(in Amazon great indian festival deal)",N/A,"Camera : camera is decent.. it's average, sometimes it takes awesome pictures and sometimes don't. Not good in low light... And also boost the colors and can't catch (or idk if it's hiding) details... Like my one of friend had worn lakhnvi kurta, and after taking the pic that maroon color kurta it was looking like red color kurta and not lakhvnvi but plain kurta...😅 I've uploaded images for that... First image of kurta was taken by iphone and look at there and the second one was taken by this narzo 60x...you can see the difference... So if your priority is not camera or you are satisfied with above images you must go for it...Sound quality: it's normal... And mostly i use wireless neckband or tws so it fine for me.....Battery : battery backup is good, since it has big display it will use more battery, but if you use with low brightness then it gives amazing backup...Also you should keep turning off background processes by going into setting and search process manager and end the process which you won't like to run in background and also you can freez app so they won't be used in background... As an example i use insta for watching reels only so I have freezed the app and so it won't run in background but as i open it will work normal..This things can save much much ram and also battery...Ease of use: ui is good, all features are available like ,internet speed,daily data usage,One handed mode,Bottom slide finger to change recent app,Screen off gestures -> double tap turn on off, draw on lock sceeen and open some app..Youtube background playEtc....Performance : it is good for regular usage, I didn't feel any leg while using the mohile, and since I don't play games, I can't say about mobile while playing games...it doesn't get heat while watching youtube and Instagram...App opening and closing is fast...Ram management: Ram management is good but  i can't understand that virtual ram(z-ram what they called).. I didn't find any usecase of it until now...Display: display attracted me a lot, i mean colors are too good....and I also have used it in sunlight, everything was visible properlyI also checked antutu score by myself in this deviceThe device has setting about  refresh rate and  perfomance modeSo,with 60hz refresh rate and balance mode i got antutu score of 4,10,000With 120hz and high perfomance mode I got 4,20,000Note: antutu score may very depending upon any background porcess runnig or not, bluetooth wifi is on or off....and also near by temperature affect itSo try  using close all the apps and also if try it with in appropriate temperature and also don't put your mobile in charging...I don't know above things will affect antutu score or not but still to be on safe side this things are necessary.."
Placeholder,3.0,"3.0 out of 5 stars
battery and ram management is so poor",N/A,"ram management ekdum bakwas battery jitni jaldi charge hoti h utni jaldi khatam hoti h 7 to 8 hours backup  only baki normal usage ke liye theek h YouTube , WhatsApp, and normal usage ke liye theek h heavy gaming nhi kar sakte basic phone h and ram management ka kuch karo yaar virtual Ram to naam ki h 4 gb variant h mere paas and 4 aur add karke bhi 700 mb bachti h normap YouTube use karne ke baad isse acha to mere pas realme c11 tha 2gb variant usme hi 1.1 gb available rehti thi ab realme bekar bna rha h phone pehle ache the"
Vishu,4.0,"4.0 out of 5 stars
Honest review",N/A,"I have been using Realme Narzo 60x 5g for quite sometime so here is my review of this device.Pros:1. Smooth experience - This device has 120hz display, therefore it's provides smooth scrolling experience if set at 120hz.2. Battery life - This device has good battery life once charged upto 80 percent it can last full day on normal use.3. Fast charging - This device comes with 33 watt fast charger which can charge the 5000 mah battery of this device upto 80 percent in 1 and half hour.Cons : 1. Sound quality - The Microphone sound volume and quality is low, this phone is not for those who use phone primarily for calling as it's sound volume is low so what other person is talking may not be audible sometimes.2. Music sound quality is low - This is not for those who love listening music at high volume since the sound volume is low. The loudspeaker is a single speaker not dual. speaker's sound volume is not that high3. Dull display - This device's has a big display but the display is slight yellow in colour. At first I thought night mode or eye protection is on so I checked it and it was not on. So the display is itself slight yellow in colour which can affect multimedia experience. You may not like watching YouTube videos from this device as the video appears yellowish.Update:- After software updates the yellowness has reduced.3. Camera -* Front camera : The device has decent front camera which clicks good selfies but it over whiten's the skin tone so it don't look natural but the selfiesquality is decent to be uploaded in social media.* Rear camera - The rear camera is of decent quality but it don't work very well in low light conditions. After clicking photo the device takes 2 to 3 seconds to process the image.* Video camera - The videos shot from this device's camera is decent. This phone supports slow motion but the slow motion videos are blurry and faded."
8527714286,4.0,"4.0 out of 5 stars
Excellent Product in this Range",N/A,"Realme has established itself as a reliable smartphone brand that offers excellent value for money. If you're looking for an affordable smartphone with good performance, camera quality, and battery life, then Realme phones available on Amazon are worth considering.For instance, the Narzo 60x 5G is a great option for anyone who wants a budget 5G phone. It comes with a MediaTek Dimensity chipset, 6GB of RAM, and a 6.5-inch display. The camera setup is impressive, with a 50-megapixel main camera It takes great photos and videos, and the battery life is decent"
PURNACHANDRA PRATAP NISHAD,4.0,"4.0 out of 5 stars
Entry level phone, for beginners only",N/A,"Phone looks good, but not feel premium while holding, build of cheap plastic.  camera bump should be in the middle.Camera below average even my redmi 7s (2018 model) has the better camera, front camera is worst.Display poor can see a little screen bleeding on black background, colors are not sharp and proper.Phone is little oversize might be difficult to operate.Bought this for my father and he is happy with this."
Shubham,4.0,"4.0 out of 5 stars
3 week review",N/A,"After a month of normal usage, social media, ott and games like bgmi and shadow fight which i believe is a majority of population here are some pros and consPros -Good performance for priceFluid 120 hz across majority appsBattery life is above easily get 5hrs+ in heavy usageUi feature implementation is greatCharging is also decent, do not feel underwhelmed coming from a 65 watt chargerCons-Camera sucks across all areasGoogle apps do not fully support 120hzGame center can have better optimisation"
Santosh Mandhare,5.0,"5.0 out of 5 stars
The best phone in price tag and also very nic specifications",N/A,"Realme Narzo 60x 5G appears to be a compelling budget smartphone with several noteworthy features:Battery Life: The phone boasts a substantial 5000mAh battery with fast charging capabilities, ensuring it can last a typical day with ease. It also has a 33W fast charger inside the box that can fast charge it from 1–50% in under half an hour. The inclusion of 38 layers of safety protection for the battery is a thoughtful addition to prolong its lifespan.Camera: The 50MP primary rear camera, along with AI enhancements, seems promising for capturing good quality photos, especially in favorable lighThe Realme Narzo 60x 5G, which made its debut on September 12, 2023, and is set to hit the market for sale on September 18, 2023, is a noteworthy addition to Realme's extensive lineup of budget-friendly smartphones.Its standout feature is its substantial 5000mah battery, which supports rapid charging, thanks to the included 33W supervooc charger. With this charger, users can expect to charge the phone from 1% to 50% in less than half an hour, offering convenience for busy lifestyles. To address concerns about battery longevity during fast charging, Realme has incorporated 38 layers of safety pHow is the phone Realme Narzo 60X 5G?The Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.Here are some of the key features of the Realme Narzo 60X 5G:Display: 6.72-inch FHD+ AMOLED display with 120Hz refresh rateProcessor: MediaTek Dimensity 6100+ processorRAM: 4GB/6GB LPDDR5 RAMStorage: 128GB/256GB UFS 3.1 storageRear camera: 50MP main camera + 2MP depth sensorFront camera: 8MPBattery: 5000mAh battery with 33W Dart Charge fast chargingOperating system: Android 13 with Realme UI 3.0The Realme Narzo 60X 5G has a good display with a 120Hz refresh rate, which makes it smooth and responsive. The MediaTek Dimensity 6100+ processor is powerful enough to handle most tasks, including gaming. The 5000mAh battery is large enough to last a full day on a single charge, and the 33W fast charging allows you to quickly charge the phone when needed.The Realme Narzo 60X 5G is a good option for users who are looking for a mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.However, there are a few things to keep in mind before buying the Realme Narzo 60X 5G:The rear camera setup is not as good as some other smartphones in the same price range.There is no microSD card slot, so you cannot expand the storage capacity.There is no headphone jack, so you will need to use wireless headphones or a USB-C adapter.Overall, the Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging. However, it is important to keep in mind the few drawbacks before buying the phone."
Abhishek,4.0,"4.0 out of 5 stars
Decent buy if you are a normal user",N/A,"If you're looking for a smartphone for day-to-day tasks like browsing the web, scrolling through social media, and watching movies, then this phone is for you.Pros:1.Display:I'm really surprised by its display. It offers a 120 Hz refresh rate and supports 1080p resolution. When watching a movie, it gives you an immersive experience.2.Sound:The mono speaker offers very good sound quality. The 'real sound technology' in this phone is very useful for watching movies and listening to music.3.Battery:The 5000mAh battery and 33W charger are sufficient. For normal users, the battery gives about 10 hours of screen-on time (SOT).4.Network:5G and 4G work really well. I haven't faced any problems related to network speed or range issues.Cons:1.Processor:This phone uses a very outdated processor. When you try games like BGMI or Free Fire, the phone will start to heat up. Also, when you play for 1 hour or more, there are issues with frame drops, and the game gets laggy.2.Heating Issue:Even with normal use, the phone occasionally gets hot. Sometimes, you can literally fry an egg using the backside of this phone.3.Front Camera:Horrible front camera performance. It doesn't offer the quality of even a below 10K budget phone. The rear camera is decent."
Yaser Arafath,4.0,"4.0 out of 5 stars
Unveiling the Realme Narzo Series: Affordable Performance Tailored for the Youthful Gamer",N/A,"Decent Performance: Equipped with capable processors, these devices ensure smooth operation for daily activities and can handle moderate gaming tasks effectively.  Long Battery Life: Often equipped with sizable batteries, these phones boast impressive longevity, ensuring prolonged usage without frequent recharging.  Quality Displays: The displays generally deliver satisfactory performance for their price range, with certain models boasting high refresh rates, enhancing the gaming experience and overall interface smoothness.  Camera Performance: While the camera quality may not match that of premium devices, it remains adequate for most users, although it may struggle in low-light conditions.  Youthful Design: Sporting vibrant and sometimes flashy designs, Realme Narzo phones appeal to the younger demographic, offering a solid build quality typically utilizing cost-effective plastic materials.  Realme UI Software: Running on Realme UI, which is based on Android, these devices provide a user-friendly experience, albeit potentially burdened with some pre-installed apps."
Sushant,3.0,"3.0 out of 5 stars
Big screen, bulky phone and very average front camera",N/A,"Screen quality is good, front camera is very average in performance even is good light does not take good picture. Phone is bulkey and not friendly to hold in one hand due to is square sides, it would have been better with curvy sides of the phone."
Parth,4.0,"4.0 out of 5 stars
It cost me 11500(in Amazon great indian festival deal)",N/A,"Camera : camera is decent.. it's average, sometimes it takes awesome pictures and sometimes don't. Not good in low light... And also boost the colors and can't catch (or idk if it's hiding) details... Like my one of friend had worn lakhnvi kurta, and after taking the pic that maroon color kurta it was looking like red color kurta and not lakhvnvi but plain kurta...😅 I've uploaded images for that... First image of kurta was taken by iphone and look at there and the second one was taken by this narzo 60x...you can see the difference... So if your priority is not camera or you are satisfied with above images you must go for it...Sound quality: it's normal... And mostly i use wireless neckband or tws so it fine for me.....Battery : battery backup is good, since it has big display it will use more battery, but if you use with low brightness then it gives amazing backup...Also you should keep turning off background processes by going into setting and search process manager and end the process which you won't like to run in background and also you can freez app so they won't be used in background... As an example i use insta for watching reels only so I have freezed the app and so it won't run in background but as i open it will work normal..This things can save much much ram and also battery...Ease of use: ui is good, all features are available like ,internet speed,daily data usage,One handed mode,Bottom slide finger to change recent app,Screen off gestures -> double tap turn on off, draw on lock sceeen and open some app..Youtube background playEtc....Performance : it is good for regular usage, I didn't feel any leg while using the mohile, and since I don't play games, I can't say about mobile while playing games...it doesn't get heat while watching youtube and Instagram...App opening and closing is fast...Ram management: Ram management is good but  i can't understand that virtual ram(z-ram what they called).. I didn't find any usecase of it until now...Display: display attracted me a lot, i mean colors are too good....and I also have used it in sunlight, everything was visible properlyI also checked antutu score by myself in this deviceThe device has setting about  refresh rate and  perfomance modeSo,with 60hz refresh rate and balance mode i got antutu score of 4,10,000With 120hz and high perfomance mode I got 4,20,000Note: antutu score may very depending upon any background porcess runnig or not, bluetooth wifi is on or off....and also near by temperature affect itSo try  using close all the apps and also if try it with in appropriate temperature and also don't put your mobile in charging...I don't know above things will affect antutu score or not but still to be on safe side this things are necessary.."
Placeholder,3.0,"3.0 out of 5 stars
battery and ram management is so poor",N/A,"ram management ekdum bakwas battery jitni jaldi charge hoti h utni jaldi khatam hoti h 7 to 8 hours backup  only baki normal usage ke liye theek h YouTube , WhatsApp, and normal usage ke liye theek h heavy gaming nhi kar sakte basic phone h and ram management ka kuch karo yaar virtual Ram to naam ki h 4 gb variant h mere paas and 4 aur add karke bhi 700 mb bachti h normap YouTube use karne ke baad isse acha to mere pas realme c11 tha 2gb variant usme hi 1.1 gb available rehti thi ab realme bekar bna rha h phone pehle ache the"
Vishu,4.0,"4.0 out of 5 stars
Honest review",N/A,"I have been using Realme Narzo 60x 5g for quite sometime so here is my review of this device.Pros:1. Smooth experience - This device has 120hz display, therefore it's provides smooth scrolling experience if set at 120hz.2. Battery life - This device has good battery life once charged upto 80 percent it can last full day on normal use.3. Fast charging - This device comes with 33 watt fast charger which can charge the 5000 mah battery of this device upto 80 percent in 1 and half hour.Cons : 1. Sound quality - The Microphone sound volume and quality is low, this phone is not for those who use phone primarily for calling as it's sound volume is low so what other person is talking may not be audible sometimes.2. Music sound quality is low - This is not for those who love listening music at high volume since the sound volume is low. The loudspeaker is a single speaker not dual. speaker's sound volume is not that high3. Dull display - This device's has a big display but the display is slight yellow in colour. At first I thought night mode or eye protection is on so I checked it and it was not on. So the display is itself slight yellow in colour which can affect multimedia experience. You may not like watching YouTube videos from this device as the video appears yellowish.Update:- After software updates the yellowness has reduced.3. Camera -* Front camera : The device has decent front camera which clicks good selfies but it over whiten's the skin tone so it don't look natural but the selfiesquality is decent to be uploaded in social media.* Rear camera - The rear camera is of decent quality but it don't work very well in low light conditions. After clicking photo the device takes 2 to 3 seconds to process the image.* Video camera - The videos shot from this device's camera is decent. This phone supports slow motion but the slow motion videos are blurry and faded."
8527714286,4.0,"4.0 out of 5 stars
Excellent Product in this Range",N/A,"Realme has established itself as a reliable smartphone brand that offers excellent value for money. If you're looking for an affordable smartphone with good performance, camera quality, and battery life, then Realme phones available on Amazon are worth considering.For instance, the Narzo 60x 5G is a great option for anyone who wants a budget 5G phone. It comes with a MediaTek Dimensity chipset, 6GB of RAM, and a 6.5-inch display. The camera setup is impressive, with a 50-megapixel main camera It takes great photos and videos, and the battery life is decent"
PURNACHANDRA PRATAP NISHAD,4.0,"4.0 out of 5 stars
Entry level phone, for beginners only",N/A,"Phone looks good, but not feel premium while holding, build of cheap plastic.  camera bump should be in the middle.Camera below average even my redmi 7s (2018 model) has the better camera, front camera is worst.Display poor can see a little screen bleeding on black background, colors are not sharp and proper.Phone is little oversize might be difficult to operate.Bought this for my father and he is happy with this."
Shubham,4.0,"4.0 out of 5 stars
3 week review",N/A,"After a month of normal usage, social media, ott and games like bgmi and shadow fight which i believe is a majority of population here are some pros and consPros -Good performance for priceFluid 120 hz across majority appsBattery life is above easily get 5hrs+ in heavy usageUi feature implementation is greatCharging is also decent, do not feel underwhelmed coming from a 65 watt chargerCons-Camera sucks across all areasGoogle apps do not fully support 120hzGame center can have better optimisation"
Santosh Mandhare,5.0,"5.0 out of 5 stars
The best phone in price tag and also very nic specifications",N/A,"Realme Narzo 60x 5G appears to be a compelling budget smartphone with several noteworthy features:Battery Life: The phone boasts a substantial 5000mAh battery with fast charging capabilities, ensuring it can last a typical day with ease. It also has a 33W fast charger inside the box that can fast charge it from 1–50% in under half an hour. The inclusion of 38 layers of safety protection for the battery is a thoughtful addition to prolong its lifespan.Camera: The 50MP primary rear camera, along with AI enhancements, seems promising for capturing good quality photos, especially in favorable lighThe Realme Narzo 60x 5G, which made its debut on September 12, 2023, and is set to hit the market for sale on September 18, 2023, is a noteworthy addition to Realme's extensive lineup of budget-friendly smartphones.Its standout feature is its substantial 5000mah battery, which supports rapid charging, thanks to the included 33W supervooc charger. With this charger, users can expect to charge the phone from 1% to 50% in less than half an hour, offering convenience for busy lifestyles. To address concerns about battery longevity during fast charging, Realme has incorporated 38 layers of safety pHow is the phone Realme Narzo 60X 5G?The Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.Here are some of the key features of the Realme Narzo 60X 5G:Display: 6.72-inch FHD+ AMOLED display with 120Hz refresh rateProcessor: MediaTek Dimensity 6100+ processorRAM: 4GB/6GB LPDDR5 RAMStorage: 128GB/256GB UFS 3.1 storageRear camera: 50MP main camera + 2MP depth sensorFront camera: 8MPBattery: 5000mAh battery with 33W Dart Charge fast chargingOperating system: Android 13 with Realme UI 3.0The Realme Narzo 60X 5G has a good display with a 120Hz refresh rate, which makes it smooth and responsive. The MediaTek Dimensity 6100+ processor is powerful enough to handle most tasks, including gaming. The 5000mAh battery is large enough to last a full day on a single charge, and the 33W fast charging allows you to quickly charge the phone when needed.The Realme Narzo 60X 5G is a good option for users who are looking for a mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.However, there are a few things to keep in mind before buying the Realme Narzo 60X 5G:The rear camera setup is not as good as some other smartphones in the same price range.There is no microSD card slot, so you cannot expand the storage capacity.There is no headphone jack, so you will need to use wireless headphones or a USB-C adapter.Overall, the Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging. However, it is important to keep in mind the few drawbacks before buying the phone."
Abhishek,4.0,"4.0 out of 5 stars
Decent buy if you are a normal user",N/A,"If you're looking for a smartphone for day-to-day tasks like browsing the web, scrolling through social media, and watching movies, then this phone is for you.Pros:1.Display:I'm really surprised by its display. It offers a 120 Hz refresh rate and supports 1080p resolution. When watching a movie, it gives you an immersive experience.2.Sound:The mono speaker offers very good sound quality. The 'real sound technology' in this phone is very useful for watching movies and listening to music.3.Battery:The 5000mAh battery and 33W charger are sufficient. For normal users, the battery gives about 10 hours of screen-on time (SOT).4.Network:5G and 4G work really well. I haven't faced any problems related to network speed or range issues.Cons:1.Processor:This phone uses a very outdated processor. When you try games like BGMI or Free Fire, the phone will start to heat up. Also, when you play for 1 hour or more, there are issues with frame drops, and the game gets laggy.2.Heating Issue:Even with normal use, the phone occasionally gets hot. Sometimes, you can literally fry an egg using the backside of this phone.3.Front Camera:Horrible front camera performance. It doesn't offer the quality of even a below 10K budget phone. The rear camera is decent."
Yaser Arafath,4.0,"4.0 out of 5 stars
Unveiling the Realme Narzo Series: Affordable Performance Tailored for the Youthful Gamer",N/A,"Decent Performance: Equipped with capable processors, these devices ensure smooth operation for daily activities and can handle moderate gaming tasks effectively.  Long Battery Life: Often equipped with sizable batteries, these phones boast impressive longevity, ensuring prolonged usage without frequent recharging.  Quality Displays: The displays generally deliver satisfactory performance for their price range, with certain models boasting high refresh rates, enhancing the gaming experience and overall interface smoothness.  Camera Performance: While the camera quality may not match that of premium devices, it remains adequate for most users, although it may struggle in low-light conditions.  Youthful Design: Sporting vibrant and sometimes flashy designs, Realme Narzo phones appeal to the younger demographic, offering a solid build quality typically utilizing cost-effective plastic materials.  Realme UI Software: Running on Realme UI, which is based on Android, these devices provide a user-friendly experience, albeit potentially burdened with some pre-installed apps."
Sushant,3.0,"3.0 out of 5 stars
Big screen, bulky phone and very average front camera",N/A,"Screen quality is good, front camera is very average in performance even is good light does not take good picture. Phone is bulkey and not friendly to hold in one hand due to is square sides, it would have been better with curvy sides of the phone."
Parth,4.0,"4.0 out of 5 stars
It cost me 11500(in Amazon great indian festival deal)",N/A,"Camera : camera is decent.. it's average, sometimes it takes awesome pictures and sometimes don't. Not good in low light... And also boost the colors and can't catch (or idk if it's hiding) details... Like my one of friend had worn lakhnvi kurta, and after taking the pic that maroon color kurta it was looking like red color kurta and not lakhvnvi but plain kurta...😅 I've uploaded images for that... First image of kurta was taken by iphone and look at there and the second one was taken by this narzo 60x...you can see the difference... So if your priority is not camera or you are satisfied with above images you must go for it...Sound quality: it's normal... And mostly i use wireless neckband or tws so it fine for me.....Battery : battery backup is good, since it has big display it will use more battery, but if you use with low brightness then it gives amazing backup...Also you should keep turning off background processes by going into setting and search process manager and end the process which you won't like to run in background and also you can freez app so they won't be used in background... As an example i use insta for watching reels only so I have freezed the app and so it won't run in background but as i open it will work normal..This things can save much much ram and also battery...Ease of use: ui is good, all features are available like ,internet speed,daily data usage,One handed mode,Bottom slide finger to change recent app,Screen off gestures -> double tap turn on off, draw on lock sceeen and open some app..Youtube background playEtc....Performance : it is good for regular usage, I didn't feel any leg while using the mohile, and since I don't play games, I can't say about mobile while playing games...it doesn't get heat while watching youtube and Instagram...App opening and closing is fast...Ram management: Ram management is good but  i can't understand that virtual ram(z-ram what they called).. I didn't find any usecase of it until now...Display: display attracted me a lot, i mean colors are too good....and I also have used it in sunlight, everything was visible properlyI also checked antutu score by myself in this deviceThe device has setting about  refresh rate and  perfomance modeSo,with 60hz refresh rate and balance mode i got antutu score of 4,10,000With 120hz and high perfomance mode I got 4,20,000Note: antutu score may very depending upon any background porcess runnig or not, bluetooth wifi is on or off....and also near by temperature affect itSo try  using close all the apps and also if try it with in appropriate temperature and also don't put your mobile in charging...I don't know above things will affect antutu score or not but still to be on safe side this things are necessary.."
Placeholder,3.0,"3.0 out of 5 stars
battery and ram management is so poor",N/A,"ram management ekdum bakwas battery jitni jaldi charge hoti h utni jaldi khatam hoti h 7 to 8 hours backup  only baki normal usage ke liye theek h YouTube , WhatsApp, and normal usage ke liye theek h heavy gaming nhi kar sakte basic phone h and ram management ka kuch karo yaar virtual Ram to naam ki h 4 gb variant h mere paas and 4 aur add karke bhi 700 mb bachti h normap YouTube use karne ke baad isse acha to mere pas realme c11 tha 2gb variant usme hi 1.1 gb available rehti thi ab realme bekar bna rha h phone pehle ache the"
Vishu,4.0,"4.0 out of 5 stars
Honest review",N/A,"I have been using Realme Narzo 60x 5g for quite sometime so here is my review of this device.Pros:1. Smooth experience - This device has 120hz display, therefore it's provides smooth scrolling experience if set at 120hz.2. Battery life - This device has good battery life once charged upto 80 percent it can last full day on normal use.3. Fast charging - This device comes with 33 watt fast charger which can charge the 5000 mah battery of this device upto 80 percent in 1 and half hour.Cons : 1. Sound quality - The Microphone sound volume and quality is low, this phone is not for those who use phone primarily for calling as it's sound volume is low so what other person is talking may not be audible sometimes.2. Music sound quality is low - This is not for those who love listening music at high volume since the sound volume is low. The loudspeaker is a single speaker not dual. speaker's sound volume is not that high3. Dull display - This device's has a big display but the display is slight yellow in colour. At first I thought night mode or eye protection is on so I checked it and it was not on. So the display is itself slight yellow in colour which can affect multimedia experience. You may not like watching YouTube videos from this device as the video appears yellowish.Update:- After software updates the yellowness has reduced.3. Camera -* Front camera : The device has decent front camera which clicks good selfies but it over whiten's the skin tone so it don't look natural but the selfiesquality is decent to be uploaded in social media.* Rear camera - The rear camera is of decent quality but it don't work very well in low light conditions. After clicking photo the device takes 2 to 3 seconds to process the image.* Video camera - The videos shot from this device's camera is decent. This phone supports slow motion but the slow motion videos are blurry and faded."
8527714286,4.0,"4.0 out of 5 stars
Excellent Product in this Range",N/A,"Realme has established itself as a reliable smartphone brand that offers excellent value for money. If you're looking for an affordable smartphone with good performance, camera quality, and battery life, then Realme phones available on Amazon are worth considering.For instance, the Narzo 60x 5G is a great option for anyone who wants a budget 5G phone. It comes with a MediaTek Dimensity chipset, 6GB of RAM, and a 6.5-inch display. The camera setup is impressive, with a 50-megapixel main camera It takes great photos and videos, and the battery life is decent"
PURNACHANDRA PRATAP NISHAD,4.0,"4.0 out of 5 stars
Entry level phone, for beginners only",N/A,"Phone looks good, but not feel premium while holding, build of cheap plastic.  camera bump should be in the middle.Camera below average even my redmi 7s (2018 model) has the better camera, front camera is worst.Display poor can see a little screen bleeding on black background, colors are not sharp and proper.Phone is little oversize might be difficult to operate.Bought this for my father and he is happy with this."
Shubham,4.0,"4.0 out of 5 stars
3 week review",N/A,"After a month of normal usage, social media, ott and games like bgmi and shadow fight which i believe is a majority of population here are some pros and consPros -Good performance for priceFluid 120 hz across majority appsBattery life is above easily get 5hrs+ in heavy usageUi feature implementation is greatCharging is also decent, do not feel underwhelmed coming from a 65 watt chargerCons-Camera sucks across all areasGoogle apps do not fully support 120hzGame center can have better optimisation"
Santosh Mandhare,5.0,"5.0 out of 5 stars
The best phone in price tag and also very nic specifications",N/A,"Realme Narzo 60x 5G appears to be a compelling budget smartphone with several noteworthy features:Battery Life: The phone boasts a substantial 5000mAh battery with fast charging capabilities, ensuring it can last a typical day with ease. It also has a 33W fast charger inside the box that can fast charge it from 1–50% in under half an hour. The inclusion of 38 layers of safety protection for the battery is a thoughtful addition to prolong its lifespan.Camera: The 50MP primary rear camera, along with AI enhancements, seems promising for capturing good quality photos, especially in favorable lighThe Realme Narzo 60x 5G, which made its debut on September 12, 2023, and is set to hit the market for sale on September 18, 2023, is a noteworthy addition to Realme's extensive lineup of budget-friendly smartphones.Its standout feature is its substantial 5000mah battery, which supports rapid charging, thanks to the included 33W supervooc charger. With this charger, users can expect to charge the phone from 1% to 50% in less than half an hour, offering convenience for busy lifestyles. To address concerns about battery longevity during fast charging, Realme has incorporated 38 layers of safety pHow is the phone Realme Narzo 60X 5G?The Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.Here are some of the key features of the Realme Narzo 60X 5G:Display: 6.72-inch FHD+ AMOLED display with 120Hz refresh rateProcessor: MediaTek Dimensity 6100+ processorRAM: 4GB/6GB LPDDR5 RAMStorage: 128GB/256GB UFS 3.1 storageRear camera: 50MP main camera + 2MP depth sensorFront camera: 8MPBattery: 5000mAh battery with 33W Dart Charge fast chargingOperating system: Android 13 with Realme UI 3.0The Realme Narzo 60X 5G has a good display with a 120Hz refresh rate, which makes it smooth and responsive. The MediaTek Dimensity 6100+ processor is powerful enough to handle most tasks, including gaming. The 5000mAh battery is large enough to last a full day on a single charge, and the 33W fast charging allows you to quickly charge the phone when needed.The Realme Narzo 60X 5G is a good option for users who are looking for a mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging.However, there are a few things to keep in mind before buying the Realme Narzo 60X 5G:The rear camera setup is not as good as some other smartphones in the same price range.There is no microSD card slot, so you cannot expand the storage capacity.There is no headphone jack, so you will need to use wireless headphones or a USB-C adapter.Overall, the Realme Narzo 60X 5G is a good mid-range smartphone with a good display, processor, and battery life. It is also a good option for users who want a smartphone with 5G connectivity and fast charging. However, it is important to keep in mind the few drawbacks before buying the phone."
Abhishek,4.0,"4.0 out of 5 stars
Decent buy if you are a normal user",N/A,"If you're looking for a smartphone for day-to-day tasks like browsing the web, scrolling through social media, and watching movies, then this phone is for you.Pros:1.Display:I'm really surprised by its display. It offers a 120 Hz refresh rate and supports 1080p resolution. When watching a movie, it gives you an immersive experience.2.Sound:The mono speaker offers very good sound quality. The 'real sound technology' in this phone is very useful for watching movies and listening to music.3.Battery:The 5000mAh battery and 33W charger are sufficient. For normal users, the battery gives about 10 hours of screen-on time (SOT).4.Network:5G and 4G work really well. I haven't faced any problems related to network speed or range issues.Cons:1.Processor:This phone uses a very outdated processor. When you try games like BGMI or Free Fire, the phone will start to heat up. Also, when you play for 1 hour or more, there are issues with frame drops, and the game gets laggy.2.Heating Issue:Even with normal use, the phone occasionally gets hot. Sometimes, you can literally fry an egg using the backside of this phone.3.Front Camera:Horrible front camera performance. It doesn't offer the quality of even a below 10K budget phone. The rear camera is decent."
Yaser Arafath,4.0,"4.0 out of 5 stars
Unveiling the Realme Narzo Series: Affordable Performance Tailored for the Youthful Gamer",N/A,"Decent Performance: Equipped with capable processors, these devices ensure smooth operation for daily activities and can handle moderate gaming tasks effectively.  Long Battery Life: Often equipped with sizable batteries, these phones boast impressive longevity, ensuring prolonged usage without frequent recharging.  Quality Displays: The displays generally deliver satisfactory performance for their price range, with certain models boasting high refresh rates, enhancing the gaming experience and overall interface smoothness.  Camera Performance: While the camera quality may not match that of premium devices, it remains adequate for most users, although it may struggle in low-light conditions.  Youthful Design: Sporting vibrant and sometimes flashy designs, Realme Narzo phones appeal to the younger demographic, offering a solid build quality typically utilizing cost-effective plastic materials.  Realme UI Software: Running on Realme UI, which is based on Android, these devices provide a user-friendly experience, albeit potentially burdened with some pre-installed apps."
Sushant,3.0,"3.0 out of 5 stars
Big screen, bulky phone and very average front camera",N/A,"Screen quality is good, front camera is very average in performance even is good light does not take good picture. Phone is bulkey and not friendly to hold in one hand due to is square sides, it would have been better with curvy sides of the phone."
